Date,Symbol,Qty,Entry Price,Filled Price,Status,Profit/Loss
2025-08-07 19:00:42,SOFI,1.0,15.63,,new,
2025-08-07 19:00:42,RIOT,1.0,10.5,11.75,filled,1.25
2025-08-07 19:00:43,LCID,1.0,3.15,2.17,filled,-0.98
2025-08-07 19:00:44,RIVN,1.0,13.58,,new,
2025-08-07 19:00:45,MARA,1.0,17.29,16.1,filled,-1.19
2025-08-07 19:03:51,SOFI,1.0,15.63,,new,
2025-08-07 19:03:51,RIOT,1.0,10.5,11.7,filled,1.2
2025-08-07 19:03:52,LCID,1.0,3.15,2.16,filled,-0.99
2025-08-07 19:03:52,RIVN,1.0,13.58,,new,
2025-08-07 19:03:53,MARA,1.0,17.29,16.15,filled,-1.14
2025-08-11 05:36:56,RIOT,1.0,11.63,11.64,filled,0.01
2025-08-11 05:36:56,CHPT,1.0,9.97,,new,
2025-08-11 05:36:57,LCID,1.0,2.2,2.2,filled,0.0
2025-08-11 05:36:58,MARA,1.0,15.85,15.99,filled,0.14
2025-08-12 05:28:36,RIOT,3.0,11.63,,new,
2025-08-12 05:28:36,CHPT,3.0,9.97,,new,
2025-08-12 05:28:37,LCID,3.0,2.2,2.2,filled,0.0
2025-08-12 05:28:39,MARA,3.0,15.85,15.85,filled,0.0
