datetime,ticker,prob_up,close
2025-08-01 06:35:24,LCID,0.9692,3.15
2025-08-01 06:35:25,RIOT,0.0738,10.5
2025-08-01 06:35:25,SOFI,0.3513,15.63
2025-08-01 06:35:26,SPY,0.722,584.73
2025-08-01 06:35:28,TSLA,0.1449,417.41
2025-08-01 06:35:28,RIVN,0.5704,13.58
2025-08-01 06:35:28,CHPT,0.4507,22.2
