Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2010-01-04 00:00:00-05:00,84.79123674991871,85.56089746659069,84.14230452979726,85.515625,118944600,0.0,0.0,0.0
2010-01-05 00:00:00-05:00,85.46281647117776,85.77973529294883,85.15343922354873,85.74200439453125,111579900,0.0,0.0,0.0
2010-01-06 00:00:00-05:00,85.65900528065717,86.0136550184713,85.59109656844277,85.80237579345703,116074400,0.0,0.0,0.0
2010-01-07 00:00:00-05:00,85.64392475983342,86.27022092167812,85.40246194232951,86.16458129882812,131091100,0.0,0.0,0.0
2010-01-08 00:00:00-05:00,85.93820004115993,86.48904010486248,85.76465171428497,86.45130920410156,126402800,0.0,0.0,0.0
2010-01-11 00:00:00-05:00,86.83617402049914,86.87389917801991,86.20233035070004,86.57207489013672,106375700,0.0,0.0,0.0
2010-01-12 00:00:00-05:00,85.99858684449349,86.17968254431636,85.43265774523458,85.7646713256836,163333500,0.0,0.0,0.0
2010-01-13 00:00:00-05:00,85.98346899244837,86.73049934702127,85.5458216489658,86.4890365600586,161822000,0.0,0.0,0.0
2010-01-14 00:00:00-05:00,86.39092509827681,86.88139792720277,86.33810530174176,86.72293853759766,115718800,0.0,0.0,0.0
2010-01-15 00:00:00-05:00,86.57206703688087,86.65506467866925,85.41756678843225,85.74958038330078,212283100,0.0,0.0,0.0
2010-01-19 00:00:00-05:00,85.73446525114913,86.87386472700106,85.71182325730054,86.821044921875,139172700,0.0,0.0,0.0
2010-01-20 00:00:00-05:00,86.2324768589248,86.3607527018214,85.2515368311589,85.93819427490234,216490200,0.0,0.0,0.0
2010-01-21 00:00:00-05:00,85.96081772982816,86.22491670738452,84.18002782841104,84.2856674194336,344859600,0.0,0.0,0.0
2010-01-22 00:00:00-05:00,83.90840360505328,84.31587317349451,82.31625623383802,82.40680694580078,345942400,0.0,0.0,0.0
2010-01-25 00:00:00-05:00,83.16136680433293,83.3122846355784,82.55771275013093,82.82935333251953,186937500,0.0,0.0,0.0
